longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-118.52,34.29,28,2272,320,868,312,7.7464,474600
-118.52,34.28,33,1975,271,801,287,7.8193,379600
-118.52,34.27,36,3204,538,1499,499,5.5649,271200
-118.52,34.26,21,8850,2139,4717,1979,3.7816,254200
-118.52,34.25,11,7849,1664,3561,1500,4.6625,290900
-118.52,34.24,6,3218,949,2295,876,3.0926,418500
-118.52,34.23,35,1471,210,735,219,8.3841,472200
-118.52,34.22,35,1620,272,1052,248,5.5209,203300
-118.52,34.22,35,1275,222,959,226,5.0282,195400
-118.52,34.21,36,2394,424,1490,427,4.3261,206700
-118.52,34.21,36,1328,287,823,273,4.5648,193700
-118.52,34.21,34,1663,299,762,282,5.1265,211000
-118.52,34.2,37,1795,346,1082,354,4.9102,207200
-118.52,34.19,42,881,170,464,163,2.9511,203900
-118.52,34.19,37,1560,275,763,284,3.8516,206900
-118.52,34.18,46,2082,438,1047,393,3.6534,216000
-118.52,34.18,43,1700,380,930,349,3.675,213100
-118.52,34.18,42,1611,410,879,386,3.1923,221800
-118.52,34.18,34,2307,388,1168,427,4.2143,245400
-118.52,34.17,20,17377,4457,7450,4204,3.2154,259600
-118.52,34.05,45,1814,325,709,311,4.825,500001
-118.52,34.04,47,1985,315,819,340,6.5147,500001
-118.52,34.04,43,2167,254,761,256,13.6842,500001
-118.52,34.04,42,993,130,368,134,10.8082,500001
-118.52,34.02,24,7418,1755,2713,1577,5.0867,500001
-118.52,34.01,25,2757,738,1014,633,3.1433,500001
-118.53,34.45,10,5509,969,3002,959,5.5981,220100
-118.53,34.44,19,3013,507,1356,484,5.1163,233200
-118.53,34.38,18,2288,607,2305,597,3.227,136100
-118.53,34.37,8,3839,852,1342,593,3.9118,333700
-118.53,34.27,33,1927,305,896,293,5.634,320500
-118.53,34.26,18,3674,577,1590,550,8.176,308400
-118.53,34.25,20,6331,1537,2957,1509,3.3892,323100
-118.53,34.23,32,4039,984,2675,941,3.0321,240000
-118.53,34.23,27,2131,543,1065,528,3.2404,230400
-118.53,34.22,29,4101,849,2630,867,4.6607,199800
-118.53,34.21,18,3124,796,1855,725,2.9389,213200
-118.53,34.2,33,3270,818,2118,763,3.225,205300
-118.53,34.2,26,2221,662,1998,603,2.8701,191100
-118.53,34.19,32,2618,692,1961,633,2.625,192300
-118.53,34.18,26,4175,885,2118,778,4.2083,240300
-118.53,34.18,16,7194,1976,3687,1894,3.1887,189300
-118.53,34.17,18,6430,1412,2897,1348,3.855,243800
-118.53,34.16,32,3554,762,1623,750,3.6141,290600
-118.53,34.14,28,6920,906,2515,860,9.2189,500001
-118.53,34.09,37,5477,833,1925,757,8.1888,500001
-118.53,34.03,40,4350,763,1551,665,7.0318,500001
-118.54,34.38,18,2096,309,1044,328,6.8299,262100
-118.54,34.3,22,4423,622,1995,582,8.2159,376200
-118.54,34.28,18,5481,780,2477,764,6.7248,377200
-118.54,34.28,10,7665,999,3517,998,10.8805,500001
-118.54,34.26,23,4960,592,1929,586,10.9052,500001
-118.54,34.25,26,2639,378,1191,401,6.2788,322200
-118.54,34.24,24,4631,1164,2360,1083,3.0977,264000
-118.54,34.23,35,3422,601,1690,574,4.375,232900
-118.54,34.23,29,1753,342,1318,333,4.125,241400
-118.54,34.22,35,1664,300,1000,309,4.6731,224100
-118.54,34.22,34,2193,513,1299,497,3.6187,211600
-118.54,34.21,32,2593,566,1596,547,3.9886,199200
-118.54,34.21,22,6064,1826,4876,1697,2.875,227100
-118.54,34.2,37,1600,349,1012,366,4.1597,201600
-118.54,34.19,33,2205,453,1242,419,4.1319,203700
-118.54,34.19,22,3380,790,2199,737,2.5739,239200
-118.54,34.18,25,1938,457,1280,425,3.9632,240300
-118.54,34.18,17,7214,1994,4100,1823,3.0943,174500
-118.54,34.17,34,2458,433,1034,373,5.6738,443600
-118.54,34.17,25,3352,891,1815,860,2.8528,425000
-118.54,34.17,11,1080,174,386,160,6.1274,315900
-118.54,34.06,21,3755,525,1493,526,11.4233,500001
-118.54,34.05,33,6778,1092,2540,1052,8.565,500001
-118.55,34.44,14,15348,2366,7087,2169,6.3277,237700
-118.55,34.41,8,21086,3945,9936,3790,5.8602,265100
-118.55,34.39,16,8726,1317,3789,1279,6.8419,323300
-118.55,34.37,21,7010,1063,3331,1038,6.776,278100
-118.55,34.28,16,8879,1239,3468,1200,8.1125,428600
-118.55,34.27,25,4919,661,2183,625,8.1356,352800
-118.55,34.26,21,4018,536,1508,529,8.203,445400
-118.55,34.24,21,5751,1082,2230,1016,4.3458,407500
-118.55,34.23,25,4409,1018,4579,1010,2.8727,245100
-118.55,34.21,35,2592,490,1427,434,5.0623,246400
-118.55,34.2,21,2549,651,1624,628,3.6905,179800
-118.55,34.19,36,978,170,475,192,4.675,222500
-118.55,34.19,31,1856,370,990,360,4.3654,223800
-118.55,34.19,18,5862,1322,3161,1280,3.1106,170600
-118.55,34.18,32,3011,529,1287,525,5.0605,311000
-118.55,34.04,41,1482,239,617,242,8.8619,500001
-118.55,34.03,35,9075,1858,3646,1724,6.0307,500001
-118.55,33.99,39,2603,456,928,410,7.9096,500001
-118.56,34.42,2,966,270,233,169,1.9667,450000
-118.56,34.41,4,17313,3224,6902,2707,5.6798,320900
-118.56,34.37,23,3927,728,1984,707,4.8536,202600
-118.56,34.25,31,1962,243,697,242,8.565,500001
-118.56,34.24,23,2980,362,1208,378,8.1714,500001
-118.56,34.23,36,3215,529,1710,539,5.5126,248400
-118.56,34.23,36,2406,432,1242,454,4.6944,221800
-118.56,34.22,35,1843,329,1041,317,4.4271,205100
-118.56,34.22,34,1599,294,819,306,4.3194,197000
-118.56,34.21,36,1286,242,788,248,3.5333,196800
-118.56,34.21,13,8327,1849,4126,1773,3.7313,189800
-118.56,34.2,36,1544,308,891,286,4.175,190900
-118.56,34.2,35,2273,410,1431,403,4.0789,196700
-118.56,34.2,35,1770,362,1083,355,5.0483,221000
-118.56,34.19,36,2600,441,1246,426,4.1111,215600
-118.56,34.19,35,782,144,425,140,5.4548,201400
-118.56,34.19,34,2579,561,1237,517,4.433,235100
-118.56,34.19,34,2185,372,986,347,4.8125,266700
-118.56,34.19,34,1237,242,671,221,3.9615,183600
-118.56,34.18,39,1819,291,770,278,5.4088,457300
-118.56,34.18,36,1366,224,719,270,4.8264,251000
-118.56,34.17,35,2987,391,1244,387,7.1322,500001
-118.56,34.14,23,9657,1189,3585,1162,10.4399,500001
-118.56,34.06,24,2332,349,761,325,7.3031,500001
-118.56,34.03,34,2095,343,662,299,8.2934,500001
-118.57,34.29,4,6995,1151,2907,1089,7.0808,341200
-118.57,34.27,20,7384,845,2795,872,9.6047,500001
-118.57,34.25,34,5098,778,2239,778,5.6149,273100
-118.57,34.25,20,4679,609,1945,609,8.7471,419900
-118.57,34.23,22,3275,648,1746,585,4.9676,221900
-118.57,34.22,27,2795,606,1702,586,3.7798,258400
-118.57,34.22,17,3262,753,1879,708,4.1359,255200
-118.57,34.21,36,878,167,499,179,4.1181,190400
-118.57,34.21,23,4891,793,2447,765,5.8798,270500
-118.57,34.2,36,2559,469,1358,445,4.5568,201500
-118.57,34.2,33,1759,311,943,315,5.223,209200
-118.57,34.2,18,7157,1869,4642,1699,3.1818,208000
-118.57,34.18,36,2981,441,1243,413,6.5304,439800
-118.57,34.17,31,1950,383,870,357,3.1875,500001
-118.57,34.15,22,5791,706,2059,673,10.9201,500001
-118.57,34.09,14,7970,1142,2926,1096,11.2866,500001
-118.58,34.25,23,4883,769,2119,725,5.521,280800
-118.58,34.24,26,3239,647,1529,590,3.2426,236900
-118.58,34.23,35,1917,314,1019,340,4.8929,234900
-118.58,34.23,29,3907,773,2037,727,4.1023,230200
-118.58,34.22,35,2560,441,1428,468,5.6345,228200
-118.58,34.22,35,1969,339,950,340,4.875,230400
-118.58,34.21,27,2209,353,1034,344,4.7125,250900
-118.58,34.21,24,2642,696,1649,633,3.0187,217700
-118.58,34.2,37,1389,252,826,249,5.015,220900
-118.58,34.2,35,1558,267,793,249,5.1463,220200
-118.58,34.2,35,1323,228,756,216,4.233,221300
-118.58,34.2,21,2979,744,1824,692,3.5,223700
-118.58,34.19,35,2329,399,966,336,3.8839,224900
-118.58,34.19,27,4286,1071,2863,1033,3.3125,222800
-118.58,34.19,15,3061,1079,2173,1078,2.85,187500
-118.58,34.18,28,908,142,368,143,5.6159,340500
-118.58,34.17,29,3393,574,1471,587,6.2064,334900
-118.58,34.15,21,3856,547,1422,535,8.4196,450700
-118.58,34.12,42,718,140,324,131,6.4018,500001
-118.58,34.06,25,4440,693,1560,636,8.8666,500001
-118.59,35.72,28,1491,408,98,48,1.4205,90000
-118.59,34.47,5,538,98,8733,105,4.2391,154600
-118.59,34.26,20,8146,1131,3562,1054,7.167,357100
-118.59,34.25,15,9716,2387,4992,2225,3.6231,193300
-118.59,34.23,17,6592,1525,4459,1463,3.0347,254500
-118.59,34.23,14,4407,1209,2676,1128,3.4091,168800
-118.59,34.22,17,6015,1464,3056,1347,4.0077,229000
-118.59,34.21,34,2389,521,1560,514,4.8333,225400
-118.59,34.21,34,1943,320,895,305,5.0462,227700
-118.59,34.21,26,2335,669,1986,645,2.9974,178800
-118.59,34.2,21,1789,679,2300,677,2.754,179800
-118.59,34.18,7,11853,2691,4404,2447,4.2009,271300
-118.59,34.17,36,1887,359,761,329,5.4847,296000
-118.59,34.15,29,2023,330,747,304,6.7694,369700
-118.59,34.14,19,1303,155,450,145,10.5511,483100
-118.59,34.11,35,2396,472,1054,457,6.4504,407000
-118.6,37.39,19,2682,518,1134,399,3.2132,166000
-118.6,34.26,18,6154,1070,3010,1034,5.6392,271500
-118.6,34.23,19,8866,2355,5005,2194,3.2564,230300
-118.6,34.21,21,9512,2560,7282,2387,2.8039,227500
-118.6,34.2,10,2869,941,2162,829,3.2297,150000
-118.6,34.19,16,14912,4183,5105,3302,2.8312,213900
-118.6,34.16,32,3999,667,1628,631,6.0794,338500
-118.6,34.15,28,4570,744,1693,695,6.14,361900
-118.6,34.09,43,2228,438,960,395,7.6091,438500
-118.6,34.08,40,866,181,399,176,6.91,380000
-118.6,34.07,16,319,59,149,64,4.625,433300
-118.6,34.02,36,2043,467,606,326,8.4331,500001
-118.61,35.47,13,2267,601,756,276,2.5474,78400
-118.61,35.08,6,3660,646,1243,482,3.4911,137200
-118.61,34.99,11,4031,766,1539,564,3.8917,120800
-118.61,34.59,5,4028,896,2062,826,4.0579,167100
-118.61,34.38,2,5989,883,1787,613,6.6916,329500
-118.61,34.31,4,1949,458,868,398,5.0151,285200
-118.61,34.25,16,8295,1506,3903,1451,5.5111,276600
-118.61,34.24,17,5406,895,2337,882,6.0137,375900
-118.61,34.23,26,3727,572,1724,530,6.1419,327300
-118.61,34.22,24,5256,758,2474,780,7.3252,333700
-118.61,34.21,41,1058,228,778,245,3.3534,180500
-118.61,34.21,34,3494,557,1861,576,5.6407,251500
-118.61,34.21,33,2609,431,1208,406,5.4527,227100
-118.61,34.2,16,1718,467,896,475,3.6296,160900
-118.61,34.19,34,703,127,369,127,4.3125,210100
-118.61,34.19,28,3824,749,1790,701,4.1154,246400
-118.61,34.17,31,1689,362,705,360,4,278500
-118.61,34.17,19,5944,1345,2372,1250,3.8819,328900
-118.61,34.16,29,4364,647,1550,624,6.8107,367400
-118.62,34.26,15,10860,1653,4178,1581,6.3249,262100
-118.62,34.22,34,2633,471,1313,428,4.0909,232900
-118.62,34.22,33,1636,275,866,289,5.6356,241300
-118.62,34.21,26,3234,517,1597,513,6.1074,258600
-118.62,34.2,29,2421,402,1120,388,5.0309,244800
-118.62,34.2,23,3098,542,1486,492,5.7613,235800
-118.62,34.19,35,1934,307,905,315,5.5101,267400
-118.62,34.18,25,3124,468,1241,439,6.4044,333100
-118.62,34.17,34,3268,538,1463,519,6.8482,308300
-118.62,34.17,32,1491,355,756,296,3.0404,262800
-118.62,34.15,26,5661,791,2493,780,7.9814,409900
-118.63,34.21,31,3952,647,1762,588,5.5709,244800
-118.63,34.2,19,7411,1045,2814,950,6.7785,336100
-118.63,34.19,32,3568,591,1741,563,5.1529,259600
-118.63,34.17,33,4769,787,2019,743,5.5798,338200
-118.63,34.16,33,2896,455,1116,411,6.0192,347700
-118.63,34.16,30,3346,487,1296,495,7.457,392700
-118.63,34.11,35,3795,690,1521,653,5.8735,448100
-118.64,34.25,47,1315,290,581,268,5.4024,253000
-118.64,34.22,16,4312,574,1902,574,8.4438,390000
-118.64,34.19,33,3017,494,1423,470,5.6163,248400
-118.64,34.19,30,2399,373,1062,377,6.0094,245600
-118.64,34.19,28,3274,571,1424,521,4.4167,247300
-118.64,34.18,33,3808,623,1784,615,5.1641,263400
-118.64,34.17,26,6767,903,2574,883,7.7846,409000
-118.65,34.27,23,1724,265,934,306,6.0783,229200
-118.65,34.21,5,5429,665,2315,687,9.6465,500001
-118.65,34.19,27,2772,511,1346,497,5.2016,243000
-118.65,34.18,27,1793,339,1016,326,4.925,240300
-118.65,34.18,26,4607,656,1769,643,7.4918,367600
-118.66,35.2,7,9664,1692,3617,1370,4.0581,162900
-118.66,34.43,9,2356,469,1556,386,3.775,155000
-118.66,34.23,18,897,142,263,110,6.1288,350000
-118.66,34.19,23,7544,1031,3221,1043,7.642,374900
-118.66,34.18,25,6612,857,2519,843,8.3912,419000
-118.66,34.1,12,2560,365,907,366,10.076,500001
-118.66,34.02,23,8798,1465,2750,1208,8.7364,500001
-118.67,34.3,5,6123,825,2440,736,7.9013,393000
-118.67,34.27,15,3221,659,1390,607,3.5313,191800
-118.67,34.27,10,3753,678,1859,660,4.9946,204600
-118.67,34.16,17,16544,2206,6214,2118,9.1228,500001
-118.68,34.33,45,121,25,67,27,2.9821,325000
-118.68,34.28,5,6150,1265,3188,1266,4.7034,223000
-118.68,34.28,17,6488,1102,3199,1070,5.0962,238000
-118.68,34.27,26,1561,212,817,242,5.477,209100
-118.68,34.27,16,4637,941,2476,878,4.0568,225200
-118.68,34.08,18,102,17,55,21,3.9934,500001
-118.69,34.21,10,3663,409,1179,371,12.542,500001
-118.69,34.18,11,1177,138,415,119,10.0472,500001
-118.69,34.08,23,204,40,117,41,9.7646,500001
-118.7,35.82,20,4642,1300,658,247,2.3937,82100
-118.7,34.53,5,14275,2474,7158,2311,5.4284,236300
